sd
5.875
5.918
6.454
6.502
6.752
6.074
5.320
5.848
5.744
6.350
5.725
6.792
5.776
5.673
6.550
5.862
6.085
5.892
6.140
5.952
6.563
5.731
6.516
6.007
5.972
5.775
5.983
4.952
6.204
5.411
6.043
4.918
6.759
5.339
6.147
6.114
6.155
6.886
6.559
6.124
6.281
6.851
6.340
6.402
6.929
6.376
6.876
6.275
7.035
6.349
7.051
6.139
6.272
6.200
6.988
6.986
7.004
6.174
5.678
6.259
7.200
6.940
6.992
5.581
6.221
6.272
6.947
5.955
5.608
5.891
5.643
5.895
5.648
5.516
5.483
5.750
5.763
5.700
5.119
5.729
5.279
5.353
6.268
6.010
5.637
6.524
6.203
5.438
5.305
5.216
5.725
5.857
6.374
5.618
5.675
5.684
5.369
4.739
5.303
4.829
5.161
5.988
5.903
4.972
4.083
4.126
5.524
5.098
5.024
5.454
4.967
5.165
5.208
4.930
4.851
5.147
4.005
5.690
5.876
6.442
6.488
4.886
5.600
5.884
5.372
4.971
4.964
4.136
4.869
5.009
5.368
5.247
4.723
5.022
5.532
4.956
5.480
6.238
5.872
6.685
5.698
6.294
7.005
7.121
5.492
4.428
4.032
4.372
5.019
4.575
5.491
5.743
4.632
5.705
4.555
4.623
4.689
4.906
4.612
5.110
4.283
4.471
4.439
4.756
5.007
4.867
4.462
5.321
5.839
5.867
6.073
6.705
6.795
6.757
7.193
7.593
6.683
6.229
6.446
5.753
5.459
5.940
5.148
5.186
4.784
4.376
4.080
4.049
3.940
4.139
3.596
4.079
4.216
3.835
3.865
4.249
4.897
4.275
4.540
4.144
4.788
4.440
5.196
5.077
4.945
4.644
4.356
3.840
3.591
3.227
3.290
3.795
4.521
4.261
3.863
4.391
3.338
3.673
4.046
3.866
3.618
4.209
4.067
3.540
3.375
3.090
3.889
3.442
2.794
2.479
2.731
3.333
3.492
3.881
3.583
4.248
4.224
3.669
3.933
4.797
4.980
5.608
4.746
4.557
4.433
3.811
5.213
4.948
5.248
5.337
5.406
4.794
5.299
5.802
4.864
4.486
5.340
4.929
4.550
4.532
3.870
3.978
3.820
4.040
4.426
4.902
5.043
5.128
5.499
6.253
5.677
6.685
5.831
7.392
5.908
4.996
4.020
4.401
3.888
3.774
3.326
3.953
3.695
4.672
3.834
3.779
4.235
4.413
4.056
3.918
4.210
4.019
3.914
4.116
4.923
5.003
4.599
4.665
5.179
5.270
5.512
4.995
4.514
5.098
4.529
4.663
4.883
7.182
8.665
7.057
7.765
8.897
9.349
8.155
7.331
5.731
5.657
5.714
6.400
6.250
5.865
5.325
5.664
4.456
4.450
4.303
3.758
4.117
4.390
4.243
3.632
3.927
3.851
3.406
3.183
4.135
4.225
4.405
4.578
4.833
4.171
4.464
4.289
4.371
4.657
4.295
3.720
4.285
4.581
4.665
4.795
5.240
5.029
5.558
5.682
5.626
4.771
4.989
6.136
5.752
6.344
6.634
6.129
7.215
6.602
6.704
6.702
5.366
5.328
4.474
5.184
4.947
5.588
5.227
5.111
5.507
5.005
4.836
4.386
4.281
4.715
3.990
4.421
3.853
3.647
3.866
4.051
3.741
3.494
3.906
4.461
4.354
4.632
4.723
4.803
3.959
3.876
3.468
3.007
4.024
4.146
4.734
4.137
3.977
3.884
4.163
3.760
3.709
3.471
4.351
4.316
5.026
4.679
5.351
5.277
6.011
5.672
5.561
5.434
6.846
6.657
7.499
8.310
7.543
7.004
6.684
5.799
6.470
6.398
6.413
6.397
5.885
4.864
4.533
3.384
3.650
3.305
3.974
4.123
4.356
5.085
5.055
4.359
4.160
4.041
4.630
3.321
3.522
3.255
2.794
2.796
2.820
3.376
3.976
3.984
4.564
4.053
3.622
3.823
4.564
5.270
4.650
5.254
4.622
5.372
5.688
5.411
5.350
5.176
3.904
4.254
3.854
3.366
4.375
4.420
4.391
4.499
4.541
4.713
3.745
4.007
3.808
3.717
3.960
3.882
3.855
4.002
3.204
3.274
3.882
5.103
5.606
5.638
4.842
4.577
4.131
4.459
5.053
5.546
5.791
