,no-people,people
319,21.04,21.735
320,17.854,21.643
321,20.986,19.621
322,19.285,21.929
323,21.004,19.177
324,19.102,19.13
325,19.774,20.707
326,19.346,18.822
327,19.084,20.308
328,21.135,22.593
329,21.921,21.452
330,19.333,18.635
331,18.882,20.747
332,19.421,20.888
333,18.426,20.998
334,21.126,17.946
335,18.43,20.529
336,17.859,20.817
337,21.175,21.519
338,17.423,22.693
339,18.638,22.603
340,19.567,18.942
341,19.575,19.81
342,19.736,18.896
343,20.996,19.006
344,19.599,22.101
345,17.834,19.241
346,18.608,18.212
347,19.492,19.654
348,19.186,21.903
349,22.152,21.728
350,18.416,22.527
351,18.901,21.823
352,20.957,20.13
353,19.553,22.234
354,18.842,22.368
355,19.732,22.446
356,19.227,19.185
357,18.293,19.06
358,19.853,21.463
359,20.236,18.636
360,17.879,21.13
361,20.331,20.488
362,20.467,17.401
363,20.709,19.591
364,19.608,19.75
365,17.362,20.044
366,20.566,19.755
367,18.917,18.908
368,18.446,19.405
369,17.921,17.232
370,17.433,20.456
371,19.391,19.348
372,18.483,20.975
373,17.016,17.807
374,17.815,18.249
375,22.022,19.37
376,17.63,19.899
377,19.492,19.003
378,17.608,19.187
379,17.995,16.709
380,20.967,18.216
381,16.825,18.663
382,17.864,19.811
383,18.491,18.853
384,19.698,17.866
385,16.977,17.304
386,21.002,17.488
387,16.622,17.894
388,17.123,17.607
389,17.914,19.57
390,22.195,21.967
391,19.802,17.991
392,18.644,19.159
393,19.733,19.89
394,19.27,19.298
395,17.299,18.164
396,19.425,19.514
397,19.246,17.173
398,22.371,16.592
399,17.892,19.382
400,18.466,19.659
401,19.869,18.818
402,18.508,17.886
403,19.688,20.099
404,20.543,18.628
405,17.755,19.221
406,18.327,18.413
407,20.357,15.363
408,19.659,15.679
409,18.444,18.218
410,19.562,18.092
411,20.583,16.952
412,19.385,14.809
413,19.047,15.561
414,18.729,15.696
415,19.268,19.1
416,17.553,18.363
417,19.422,18.238
418,21.79,16.664
419,15.119,17.637
420,19.727,15.787
421,20.166,18.7
422,21.225,20.787
423,19.052,20.384
424,19.7,18.321
425,19.414,19.402
426,19.621,16.565
427,18.757,19.491
428,17.147,20.261
429,18.613,19.636
430,18.296,20.036
431,19.409,18.881
432,18.249,17.854
433,18.721,21.643
434,20.09,17.894
435,21.118,19.891
436,18.692,18.643
437,19.391,20.735
438,18.327,19.282
439,16.905,19.434
440,19.246,20.135
441,16.234,21.082
442,18.46,17.568
443,21.863,18.299
444,16.768,18.169
445,18.557,21.624
446,18.323,17.311
447,18.682,17.837
448,18.299,18.322
449,17.539,18.603
450,18.541,18.875
451,16.616,15.327
452,18.144,16.527
453,19.517,16.513
454,18.244,16.432
455,19.061,20.483
456,18.891,18.669
457,18.445,17.101
458,20.291,17.169
459,19.469,17.774
460,22.669,20.397
461,19.568,17.203
462,20.249,20.114
463,18.006,17.585
464,19.581,20.617
465,22.513,19.113
466,19.872,19.126
467,18.167,21.036
468,16.554,20.987
469,21.382,17.423
470,16.921,18.672
471,18.676,16.795
472,20.786,16.162
473,17.039,18.936
474,19.722,19.149
475,22.072,17.52
476,18.995,18.648
477,18.52,18.412
478,19.084,18.256
479,22.079,14.257
480,19.753,16.251
481,21.663,17.337
482,19.433,17.757
483,19.663,19.281
484,16.571,18.238
485,16.996,18.5
486,19.22,18.674
487,19.789,17.011
488,19.405,17.323
489,19.102,18.549
490,16.532,20.492
491,20.987,20.365
492,17.025,21.835
493,21.004,19.864
494,19.134,20.591
495,17.582,18.145
496,21.62,18.797
497,18.45,20.535
498,20.52,20.486
499,18.108,21.199
500,19.464,20.032
501,18.935,21.882
502,18.041,19.025
503,19.995,18.11
504,18.501,17.328
505,19.046,17.606
506,20.384,19.477
507,19.697,16.808
508,18.312,16.272
509,20.818,18.806
510,19.935,20.532
511,19.923,20.559
512,19.837,19.208
513,21.915,18.049
514,21.701,18.133
515,19.363,15.613
516,17.599,19.013
517,20.33,16.128
518,20.112,19.039
519,19.858,17.616
520,18.882,16.001
521,20.041,20.41
522,21.507,19.597
523,18.524,16.628
524,19.402,18.279
525,20.844,20.537
526,18.519,19.375
527,19.045,20.032
528,18.672,21.152
529,21.255,18.577
530,20.587,17.945
531,18.48,17.77
532,19.406,20.612
533,19.013,18.463
534,21.072,18.933
535,21.316,17.735
536,16.95,19.104
537,20.947,18.189
538,20.427,18.46
539,19.33,17.094
540,20.487,16.332
541,22.126,18.097
542,22.216,18.479
543,20.524,15.387
544,18.962,18
545,21.364,19.811
546,19.543,19.644
547,20.502,20.411
548,18.605,19.229
549,17.61,15.799
550,16.729,18.5
551,17.361,16.318
552,16.74,20.917
553,19.127,16.236
554,17.739,21.021
555,18.711,18.896
556,20.288,19.126
557,20.524,19.825
558,19.747,20.206
559,18.57,23.052
560,21.288,18.519
561,19.452,19.206
562,22.142,19.579
563,19.67,20.937
564,17.115,18.65
565,18.439,18.473
